title,poster,chinese_movie_name,year,English_movie_name,country,category,lanuage,release_year,douban_score,file_size,duration,director,leading_role,introduction,dowload_url,CountMovie
2019年剧情《名字之歌》BD中英双字幕,https://lookimg.com/images/2020/04/28/PZ65Ko.jpg,名字之歌/逝者如歌(台),2019,The Song of Names,"加拿大,匈牙利",剧情,英语,2019-09-08(多伦多电影节) / 2019-12-25(美国),"6.7/10 from 1,064 users",2 GB,113分钟,佛朗索瓦·吉拉德 Franois Girard,蒂姆·罗斯 Tim Roth,根据诺曼·莱布得勒支创作的同名小说改编，讲述二战时的伦敦，两个少年马丁和道维多尔成为生死之交。道维多尔是个从华沙流亡过来的小提琴手，寄居在马丁家。然而，就在道维多尔的小提琴独奏会的首演当晚，他却神秘地失踪了，这件事成了马丁几十年的心结。,ftp://ygdy8:ygdy8@yg39.dydytt.net:8014/阳光电影www.ygdy8.com.名字之歌.BD.1080p.中英双字幕.mkv,1
2020年剧情爱情音乐《我仍然相信》BD中英双字幕,https://extraimage.com/images/2020/04/27/03b20c5062bad28a0.jpg,我仍然相信/依然相信(台)/信念依存,2020,I Still Believe,美国,剧情/爱情/音乐,英语,2020-03-13(美国),6.0/10 from 164 users,2 GB,115分钟,安德鲁·欧文 Andrew Erwin,布丽特·罗伯森 Britt Robertson,讲述了基督教音乐明星杰里米·坎普的真实生活故事和他爱与失去的旅程，这似乎证明了永远都有希望。,ftp://ygdy8:ygdy8@yg90.dydytt.net:6015/阳光电影www.ygdy8.com.我仍然相信.BD.1080p.中英双字幕.mkv,2
2020年惊悚《阿肯色》BD中英双字幕,https://extraimage.com/images/2020/04/25/p2599417379.jpg,阿肯色,2020,Arkansas,美国,惊悚 / 犯罪,英语,2020-05-01(美国),unkonw,2 GB,115分钟,克拉克·杜克 Clark Duke,利亚姆·海姆斯沃斯 Liam Hemsworth,利亚姆·海姆斯沃斯、文斯·沃恩将主演克拉克·杜克导演处女作[阿肯色]。本片讲述迪克西黑手党中两名低级毒贩(海姆斯沃斯、杜克饰)本按照阿肯色州毒枭(沃恩饰)的命令生活，但一笔交易出了可怕的差错，随之而来的是致命的后果。,ftp://ygdy8:ygdy8@yg18.dydytt.net:8018/阳光电影www.ygdy8.com.阿肯色.BD.1080p.中英双字幕.mkv,3
2020年动作《惊天营救/极限营救》BD中英双字幕,https://lookimg.com/images/2020/04/25/PZOUiV.jpg,惊天营救/极限营救/达卡,2020,Extraction/Dhaka/Out of the Fire,美国,剧情/动作,英语,2020-04-24(美国),"7.1/10 from 3,293 users",1.94 GB,117分钟,山姆·哈格雷夫 Sam Hargrave,克里斯·海姆斯沃斯 Chris Hemsworth,勒泰·雷克（克里斯·海姆斯沃斯饰）是一名无所畏惧的黑市雇佣兵，一无所有的他奉命营救入狱的黑帮大佬被绑架的儿子。但是在充斥着武器交易商和毒贩的阴暗地下世界中，本就致命的任务更是难以完成，并彻底地改变了雷克和男孩的命运。,ftp://ygdy8:ygdy8@yg39.dydytt.net:4028/阳光电影www.ygdy8.com.惊天营救.BD.1080p.中英双字幕.mkv,4
2020年悬疑惊悚《狩猎的时间》BD韩语中字,https://lookimg.com/images/2020/04/25/PZOx3K.jpg,狩猎的时间/狩猎时间,2020,Hunting Time/Sanyangeui sigan/The Night of the Hunter/Time to Hunt,韩国,悬疑 / 惊悚 / 犯罪,韩语,2020-02-22(柏林电影节) / 2020-04-23(韩国),6.0/10 from 916 users,2.33 GB,134分钟,尹成贤 Sung-Hyun Yoon,李帝勋 Je-hoon Lee,《守望者》导演新作，讲述在不久的将来韩半岛再次受到经济冲击，进而出现巨大的贫民街。为了生活下去，在这条街上的年轻人不惜以身试法的故事。,ftp://ygdy8:ygdy8@yg90.dydytt.net:8067/阳光电影www.ygdy8.com.狩猎的时间.BD.1080p.韩语中字.mkv,5
2019年高分剧情《7号房的礼物》BD中英双字幕,https://lookimg.com/images/2020/04/24/PZvUe3.jpg,7号房的礼物(土耳其版),2019,7. Kogustaki Mucize/7. Kogustaki Mucize/Miracle in Cell No.7/Yedinci Kogustaki Mucize,土耳其,剧情,土耳其语,2019-10-11(土耳其),"8.2/10 from 4,390 users",GB,132分钟,Mehmet Ada ztekin,Aras Bulut Iynemli,一个被错误指控谋杀的精神病父亲和他可爱的六岁女儿之间的温情故事。改编自2013年韩国电影《7号房的礼物》。,ftp://ygdy8:ygdy8@yg18.dydytt.net:7018/阳光电影www.ygdy8.com.7号房的礼物.BD.1080p.中英双字幕.mkv,6
2020年惊悚恐怖《格蕾特和韩塞尔》BD中英双字幕,https://lookimg.com/images/2020/04/24/PZv7Az.jpg,格蕾特和韩塞尔/战栗糖果屋(台)/糖果屋/韩赛尔与格蕾特,2020,Gretel & Hansel/Gretel and Hansel,"加拿大,爱尔兰,美国,南非",惊悚 / 恐怖 / 奇幻,英语,2020-01-31(美国),5.2/10 from 688 users,GB,87分钟,奥兹·珀金斯 Oz Perkins,索菲娅·莉莉丝 Sophia Lillis,描述葛丽特与汉赛尔被抛弃在黑森林中，试图找寻食物，却误入女巫预备丰盛佳肴的屋子。,ftp://ygdy8:ygdy8@yg18.dydytt.net:8017/阳光电影www.ygdy8.com.格蕾特和韩塞尔.BD.1080p.中英双字幕.mkv,7
2019年高分获奖剧情《看不见的女人》BD中英双字幕,https://lookimg.com/images/2020/04/22/PQCyIc.jpg,看不见的女/失散两生花(港)/她们的隐藏人生(台)/爱在姊妹失散时(澳)/隐形的女人,2019,A vida invisível de Eurídice Gusmo人/Invisible Life/The Invisible Life of Euridice Gusmo/Vida Invisivel,巴西,剧情,葡萄牙语,2019-05-20(戛纳电影节),"7.9/10 from 1,733 users",2.27 GB,145分钟,卡里姆·埃诺兹 Karim Ainouz,朱莉娅·斯托克勒 Julia Stockler,故事发生在1950年巴西的里约热内卢，18岁的尤丽狄茜与20岁的吉达是一对形影不离的亲生姐妹，她们与保守的父母一同生活。虽然家风传统，姐妹俩却各自怀揣梦想：尤丽狄茜想做一名职业钢琴家，吉达渴望追寻真爱。在一次戏剧化的变故后，姐妹被迫分离，两人各自的梦想也因生活的无奈被搁置。即便如此，姐妹倆从未放弃找寻彼此的希望。,ftp://ygdy8:ygdy8@yg18.dydytt.net:3028/阳光电影www.ygdy8.com.看不见的女人.BD.1080p.中英双字幕.mkv,8
2020年剧情动作《我们永不言弃》HD国语中字,https://lookimg.com/images/2020/04/23/PQFgWD.jpg,我们永不言弃/Knockout,2020,我們永不言棄,中国香港,剧情 / 动作,普通话,2020-04-20(中国大陆),unkonw,2.63 GB,unkonw,周显扬 Roy Chow Hin-Yeung,韩庚 Geng Han,拳坛上所向披靡的“死神”周始因一次意外被判入狱五年，出狱后妻子离世，只剩女儿周自在等他。年幼的女儿被发现患上白血病，周始为完成女儿心愿，以36岁高龄重返擂台，与拳王展开IBF金腰带争夺战。即使体能消耗殆尽、头破血流、视线模糊、血肉飞溅，亦会继续打下去，直至分出胜负…,ftp://ygdy8:ygdy8@yg90.dydytt.net:7067/阳光电影www.ygdy8.com.我们永不言弃.HD.1080p.国语中字.mkv,9
2019年获奖奇幻《匹诺曹/木偶奇遇记》BD中英双字幕,https://lookimg.com/images/2020/04/22/PQ3mez.jpg,匹诺曹/木偶奇遇记,2019,Pinocchio,"意大利,英国,法国",奇幻,意大利语,2019-12-19(意大利),"6.8/10 from 2,205 users",GB,124分钟,马提欧·加洛尼 Matteo Garrone,罗伯托·贝尼尼 Roberto Benigni,意大利真人版《匹诺曹》，故事围绕一个老木匠与他雕刻的小木偶匹诺曹展开。,ftp://ygdy8:ygdy8@yg90.dydytt.net:6014/阳光电影www.ygdy8.com.匹诺曹.BD.1080p.中英双字幕.mkv,10
